row_type,pv,task,group,metric,replicate,estimate,full_estimate,valid_replicates,failed_replicates,sampling_variance,sampling_standard_error
replicate,PV1MATH,classification,contrast,ece_difference,17.0,0.04779034806468614,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,17.0,0.06367239123178514,,,,,
replicate,PV1MATH,regression,global,rmse,18.0,60.63756121949899,,,,,
replicate,PV1MATH,regression,global,r2,18.0,0.622452245272886,,,,,
replicate,PV1MATH,classification,global,auc,18.0,0.8845355044658713,,,,,
replicate,PV1MATH,classification,global,brier,18.0,0.1370151920663276,,,,,
replicate,PV1MATH,classification,global,ece,18.0,0.03090673717992389,,,,,
replicate,PV1MATH,classification,global,calibration_slope,18.0,0.7896370539615453,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,18.0,0.8546300697928438,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,18.0,0.15232794072936487,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,18.0,0.06725363565023584,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,18.0,0.8440716280050211,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,18.0,0.8566778829553585,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,18.0,0.10853094587746191,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,18.0,0.029589802826263945,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,18.0,0.82806529218312,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,18.0,-0.002047813162514678,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,18.0,0.03634689847031196,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,18.0,0.05443457404347585,,,,,
replicate,PV1MATH,regression,global,rmse,19.0,60.46555565898742,,,,,
replicate,PV1MATH,regression,global,r2,19.0,0.6189479240351439,,,,,
replicate,PV1MATH,classification,global,auc,19.0,0.8839889453360834,,,,,
replicate,PV1MATH,classification,global,brier,19.0,0.13591008322172884,,,,,
replicate,PV1MATH,classification,global,ece,19.0,0.03379528951343687,,,,,
replicate,PV1MATH,classification,global,calibration_slope,19.0,0.7830169190172678,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,19.0,0.8531697652706591,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,19.0,0.15641265128638784,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,19.0,0.07778608095557324,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,19.0,0.8479518871570313,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,19.0,0.8525405052493613,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,19.0,0.11089129897459366,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,19.0,0.030834507259027765,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,19.0,0.8091223720806463,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,19.0,0.0006292600212978172,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,19.0,0.04399079144213637,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,19.0,0.06493496813976352,,,,,
replicate,PV1MATH,regression,global,rmse,20.0,60.711407585468606,,,,,
replicate,PV1MATH,regression,global,r2,20.0,0.625613080633094,,,,,
replicate,PV1MATH,classification,global,auc,20.0,0.887213598121074,,,,,
replicate,PV1MATH,classification,global,brier,20.0,0.13448621358016827,,,,,
replicate,PV1MATH,classification,global,ece,20.0,0.03102729539202067,,,,,
replicate,PV1MATH,classification,global,calibration_slope,20.0,0.8001511186512157,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,20.0,0.8635466046406362,,,,,
