query_index,baseline_prediction,base_ST004D01T,base_GRADE,base_AGE,base_ESCS,base_IMMIG,base_HISEI,base_PAREDINT,base_HOMEPOS,base_ANXMAT,base_MATHEFF,base_MATHEF21,base_MATHPERS,base_FAMCON,base_BELONG,base_BULLIED,base_FEELSAFE,base_SCHRISK,base_FAMSUP,base_DISCLIM,base_TEACHSUP,base_COGACRCO,base_COGACMCO,base_STUBEHA,base_TEACHBEHA,base_EDUSHORT,base_STAFFSHORT,base_ICTRES,base_ICTHOME,base_ICTSCH,base_ICTEFFIC,base_ICTINFO,base_ICTSUBJ,base_STUDYHMW
414378,0.9371424913406372,0.0,-1.0,15.33,-2.4469,1.0,17.0,12.0,-3.2656,,-1.3457,-0.544,-0.5478,,-0.3128,-1.228,-0.756,-0.6386,-1.2364,0.1614,0.4357,-0.0862,-0.0241,0.5907,-0.1274,0.8306,0.0055,-3.1686,,,,,,5.0
367307,0.878907322883606,0.0,0.0,16.25,-1.2501,1.0,22.57,12.0,-0.688,2.6149,-2.6118,-0.6036,-0.6874,,-0.4861,-1.228,,-0.6386,1.883,-0.8362,-0.5635,-0.9614,0.4127,-1.6103,-0.6891,,0.1061,-1.3189,,,,,,1.0
14706,0.775965690612793,0.0,0.0,16.0,-0.7973,2.0,,12.0,-0.1114,,,,,,-1.0125,0.9369,-1.7945,-0.6386,,,,,,-0.4881,1.2859,1.3498,0.6231,0.5309,,,,,,10.0
535761,0.6640599370002747,0.0,0.0,15.67,0.1244,1.0,,16.0,-1.1353,,,0.2806,-0.0952,,0.3525,-1.228,-0.039,-0.6386,-0.2791,-0.1114,1.5558,-0.6228,0.8576,-0.4428,-1.419,1.4783,-0.7828,-0.6778,0.3346,0.4062,0.4811,0.6392,0.0099,1.0
164730,0.9940332770347595,0.0,0.0,15.67,-2.5462,1.0,,9.0,-2.7869,0.5653,,,,,,,,,,-0.6497,,,,,0.933,1.5322,2.1075,-2.4705,,,,,,-1.0
129458,0.8935703635215759,0.0,0.0,15.58,,1.0,,,,0.6387,-1.0877,-2.1364,0.9905,-0.1333,-0.3261,-1.228,-0.756,-0.6386,,1.1779,-1.3627,-1.5388,-1.935,1.9143,0.5642,1.7368,2.8705,,0.3346,-2.854,,,0.6775,3.0
215773,0.9887155890464783,1.0,0.0,15.5,-3.7718,-1.0,,3.0,-2.8536,,,,,,0.4026,-1.228,0.3221,,,1.6585,,,,,-1.2943,-1.4783,-0.7828,-3.1319,,,,,,1.0
607450,0.9846487641334534,0.0,0.0,15.75,-1.0431,1.0,73.91,12.0,-2.488,,,,,,-0.0314,1.4807,-1.1042,0.8948,,,,,,,2.1307,2.9595,,,,,,,,1.0
198968,0.8040888905525208,1.0,0.0,15.5,-0.3727,1.0,16.5,16.0,0.0558,-0.8097,-0.5166,0.4221,,,-0.7308,1.022,-1.529,1.5406,-0.4251,-1.2589,-0.3322,-0.2702,0.4418,0.8663,1.4277,0.1,1.9428,-1.3097,,,,,,6.0
44634,0.4954889416694641,0.0,,15.83,-0.4539,1.0,28.48,12.0,0.9283,,,,,,2.2967,-1.228,1.1246,-0.6386,-0.989,,,,,1.4616,-0.1662,-1.4212,-1.8617,,0.3346,0.4062,-0.5843,0.0811,0.5078,10.0
491247,0.514948308467865,0.0,0.0,16.08,0.7574,1.0,78.76,16.0,-0.0514,2.635,-1.1033,-0.1418,1.654,-0.3561,1.4416,-1.228,,,1.7399,-0.8615,-0.3322,3.6719,0.3576,-1.2458,-2.0904,-1.4212,0.1201,,0.3346,0.4062,-0.4898,0.7135,0.6733,9.0
352847,0.8191206455230713,1.0,-1.0,15.5,-0.264,1.0,70.34,12.0,-0.4894,1.1287,-1.4458,0.3469,-1.1542,,0.0342,-0.267,0.1368,0.5348,-0.5032,-0.0691,0.8211,-0.8036,-0.2119,1.6585,0.6101,0.4292,1.5435,-1.3724,,,,,,1.0
199057,0.4901992976665497,1.0,0.0,15.83,0.5662,1.0,68.7,16.0,-0.0544,0.4067,-0.5884,-0.2851,-0.7745,,0.0422,0.5426,-0.756,0.4139,-0.8847,0.7011,-1.0693,0.0633,0.6608,-0.1359,0.2266,0.1,1.7065,0.5084,,,,,,5.0
