student_idx,predicted_probability,feature,shap_contribution,rank
352845,0.9947522878646851,FAMCON,0.33701854788199853,8
352845,0.9947522878646851,FAMSUP,0.2971894541303118,9
352845,0.9947522878646851,ANXMAT,0.27627566844662627,10
38227,0.5397878885269165,HOMEPOS,0.5663012921184236,1
38227,0.5397878885269165,MATHEFF,0.38347228264340627,2
38227,0.5397878885269165,ICTRES,0.29466239316926024,3
38227,0.5397878885269165,ICTEFFIC,0.2605534598121358,4
38227,0.5397878885269165,BULLIED,0.17401314436618123,5
38227,0.5397878885269165,SCHRISK,0.1377003760669868,6
38227,0.5397878885269165,MATHEF21,0.12009677273181296,7
38227,0.5397878885269165,COGACMCO,0.08098731155710993,8
38227,0.5397878885269165,HISEI,0.06571773897615003,9
38227,0.5397878885269165,FEELSAFE,0.0657046740818987,10
358256,0.9065670371055603,HOMEPOS,0.7088158770635345,1
358256,0.9065670371055603,GRADE,0.6751515261906025,2
358256,0.9065670371055603,MATHEFF,0.5986353304838667,3
358256,0.9065670371055603,HISEI,0.4982367069586326,4
358256,0.9065670371055603,MATHPERS,0.2777410984424023,5
358256,0.9065670371055603,ESCS,0.17652694029020494,6
358256,0.9065670371055603,ST004D01T,0.15019219317884563,7
358256,0.9065670371055603,STUDYHMW,0.14988478028342797,8
358256,0.9065670371055603,EDUSHORT,0.1375234905531761,9
358256,0.9065670371055603,STAFFSHORT,0.12027226012689425,10
521895,0.3758339583873749,HISEI,0.3546182826704171,1
521895,0.3758339583873749,MATHEFF,0.18843489397197344,2
521895,0.3758339583873749,ICTEFFIC,0.10158373403744009,3
521895,0.3758339583873749,ESCS,0.0959984999462722,4
521895,0.3758339583873749,ICTINFO,0.0914210477794768,5
521895,0.3758339583873749,PAREDINT,0.07882866901837587,6
521895,0.3758339583873749,STUDYHMW,0.05787097792490385,7
521895,0.3758339583873749,ICTRES,0.04978803155650894,8
521895,0.3758339583873749,ANXMAT,0.041234843968122735,9
521895,0.3758339583873749,STAFFSHORT,0.0363410345165812,10
521605,0.5681552886962891,ICTRES,0.35282148660586243,1
521605,0.5681552886962891,BULLIED,0.3009897635807647,2
521605,0.5681552886962891,COGACMCO,0.21836293493211997,3
521605,0.5681552886962891,TEACHBEHA,0.20878185060174473,4
521605,0.5681552886962891,FAMCON,0.208050240189923,5
521605,0.5681552886962891,STUDYHMW,0.1514225647137573,6
521605,0.5681552886962891,MATHPERS,0.1365903888412686,7
521605,0.5681552886962891,ICTSCH,0.13143297052491107,8
521605,0.5681552886962891,MATHEFF,0.12945247024524179,9
521605,0.5681552886962891,ICTINFO,0.11548064830625662,10
604064,0.6896328330039978,HOMEPOS,0.4955448487461854,1
604064,0.6896328330039978,ICTEFFIC,0.4071163698508644,2
604064,0.6896328330039978,ICTSCH,0.37868170607776847,3
604064,0.6896328330039978,MATHEF21,0.23977437423998707,4
604064,0.6896328330039978,ICTRES,0.19164849051156124,5
