pv,estimand,task,group,metric,estimate,n
PV10MATH,senate,classification,low_ses_non_native,brier,0.15602512766529295,2533
PV10MATH,senate,classification,low_ses_non_native,ece,0.035120900734822706,2533
PV10MATH,senate,classification,low_ses_non_native,calibration_slope,0.8961401523759076,2533
PV10MATH,senate,classification,high_ses_native,auc,0.8536701097919123,24909
PV10MATH,senate,classification,high_ses_native,brier,0.1108746978597263,24909
PV10MATH,senate,classification,high_ses_native,ece,0.018838387604285307,24909
PV10MATH,senate,classification,high_ses_native,calibration_slope,0.8835326904189246,24909
PV10MATH,senate,classification,contrast,auc_difference,0.002158150585252372,27442
PV10MATH,senate,classification,contrast,ece_difference,0.011751243369927757,27442
PV10MATH,senate,classification,contrast,slope_difference,0.04162559607137295,27442
